CODIGO;CODBARRA1;CODBARRA2;CODBARRA3;CODAUXILI1;CODAUXILI2;DESCRICAO;DESCREDUZI;DESCDETA1;DESCDETA2;DESCDETA3;DESCDETA4;LOCALIZA;SUBGRUPO;GRUPO;DEPARTAMEN;MARCA;PRECOVENDA;MARGEM;ESTOQUE;ESTOQUEMIN;ESTOQUEIDE;ESTOQUEPEN;UNIDADE;PESO;SITUACAO;TIPO;DATAALT;AGRUPAMENT;FRACIONADO;CUSTOMEDIO;PERCOMIS;NAOCOMIS;FATORCONV;CST;ORIGEM;NCM;ICMSIN;ICMSINREV;ICMSININD;ICMSINPER1;ICMSINPER2;ICMS;ICMSCN;ICMSCR;ICMSINDU;ICMSPER1;ICMSPER2;PISCOF;ALIPI;CREDICMS;PPB;FABPROPRI;RECSTANT;GRADEPRINC;GRADE1;GRADE2
4190;41904;;;;;COMP. PC PADRAO A ESSEN D430 3GB 500GB ASUS;COMP. PC PADRAO A ESSEN D;PLACA MAE ASUS, PROCESSADOR CELERON 430;MEMORIA 3GB, HD 500GB, GABINETE 2 BAIAS SEM GRAV;;;;92;1;1;0;649;50;0;0;0;0;;0;A;N;20120109;0;;456,5;0;;;;4;84715010;2;2;2;0;0;9;9;9;9;0;0;2;0;81,558;471;;;0;0;0
4191;41911;;;;;TECLADO PS2 COLETEK KB2101-1 PRETO;TECLADO PS2 COLETEK KB210;;;;;;25;1;1;0;18;50;0;0;0;0;;0;A;N;20120109;0;;7,153;0;;;;0;84716052;2;2;2;0;0;6;6;6;6;0;0;1;0;0,746;0;;;0;0;0
4192;41928;;;;;NETBOOK NORION DIAMOND 2GB 320GB 10POL LINUX;NETBOOK NORION DIAMOND 2G;;;;;;100;1;1;0;850;40;1;0;0;0;;0;A;N;20120111;0;;599;0;;;;0;84713012;2;2;2;0;0;6;6;6;6;0;0;2;0;71,88;0;;;0;0;0
4193;41935;;;;;MOUSE USB MYMAX RD6016 PRETO/PRATA;MOUSE USB MYMAX RD6016 PR;;;;;;10;1;1;0;15;50;0;10;0;0;;0;A;N;;0;;5,806;0;;;;2;84716053;1;1;1;0;0;1;1;1;1;0;0;1;0;0,605;0;;;0;0;0
4194;41942;;;;;TECLADO USB MYMAX PRETO KEY-780AB;TECLADO USB MYMAX PRETO K;;;;;;25;1;1;0;20;50;0;0;0;0;;0;A;N;20120225;0;;10,368;0;;;;2;84716052;2;2;2;0;0;6;6;6;6;0;0;1;0;1,016;0;;;0;0;0
4195;41959;;;;;MIDIA CD-R PRINTABLE MULTILASER UNIDADE;MIDIA CD-R PRINTABLE MULT;;;;;;18;1;1;0;0,75;50;0;0;0;0;;0;A;N;;0;;0,357;0;;;;2;85234011;2;2;2;0;0;6;6;6;6;0;0;1;0;0,035;0;;;0;0;0
4196;41966;;;;;NOT GATEWAY LXWKL02016 I5-460M/4GB/640GB/WIN7HP;NOTEBOOK GATEWAY;;;;;;100;1;1;0;2699;40;0;0;0;0;;0;A;N;;0;;1868,809;0;;;;2;84713012;1;1;1;0;0;4;4;7;7;0;0;2;0;195,02;0;;;0;0;0
4197;41973;;;;;NETBOOK ACER ASPIREONE AOD255-2844 2GB/250GB/VERME;NETBOOK ACER ASPIREONE AO;;;;;;100;1;1;0;1099;40;0;0;0;0;;0;A;N;;0;;766,611;0;;;;2;84713012;1;1;1;0;0;4;4;7;7;0;0;2;0;80;0;;;0;0;0
4198;41980;;;;;HD EXTERNO 1.0TB VERBATIM PORTATIL TITAN EMBORRACH;HD EXTERNO 1.0TB VERBATIM;;;;;;27;1;1;0;425;40;0;0;0;0;;0;A;N;20120109;0;;295,131;0;;;;2;84717012;2;2;2;0;0;6;6;6;6;0;0;1;0;32,2;0;;;0;0;0
4199;41997;;;;;SERVER SUPERMICRO RACK XEON 3430/2GB/500;SERVER SUPERMICRO RACK XE;SERVIDOR SUPERSERVER RACK COM PROCESSADOR INTEL;XEON 3430, MEMORIA DE 2GB DDR3 ECC, HD 500GB SATA;GRAVADOR DE DVD;;;92;1;1;0;2999;40;0;0;0;0;;0;A;N;20120109;0;;2234,652;0;;;;4;84715010;2;2;2;0;0;9;9;9;9;0;0;2;0;367,29;562;;;0;0;0
4200;42000;;;;;TELEFONE INTELBRAS HEADSET HSB-20;TELEFONE INTELBRAS HEADSE;;;;;;8;1;1;0;139;40;0;0;0;0;;0;A;N;20120124;0;;101,09;0;;;;0;85171899;2;2;2;0;0;6;6;6;6;0;0;1;0;0;0;;;0;0;0
4201;42017;;;;;HD IDE 120GB 7200 SEAGATE ST3120215;HD IDE 120GB 7200 SEAGATE;;;;;;27;1;1;0;130;40;0;0;0;0;;0;A;N;20120109;0;;72,897;0;;;;2;84717012;2;2;2;0;0;6;6;6;6;0;0;1;0;7,952;0;;;0;0;0
4202;42024;;;;;MOUSE SEM FIO NORION NNWR-07;MOUSE SEM FIO NORION NNWR;;;;;;10;1;1;0;29;40;0;1;0;0;;0;A;N;;0;;15;0;;;;0;84716053;1;1;1;0;0;1;1;1;1;0;0;1;0;1,8;0;;;0;0;0
4203;42031;;;;;DRIVE LEITOR CARTAO MYMAX MCRW-IUSB59;DRIVE LEITOR CARTAO MYMAX;;;;;;11;1;1;0;20;40;0;3;0;0;;0;A;N;20120109;0;;12,159;0;;;;2;84719019;2;2;2;0;0;6;6;6;6;0;0;1;0;1,223;0;;;0;0;0
4204;42048;;;;;ROTEADOR WIR BEKLIN F6D4230NN4;ROTEADOR WIR BEKLIN F6D42;;;;;;23;1;1;0;119;40;0;0;0;0;;0;A;N;;0;;57,963;0;;;;2;85176241;1;1;1;0;0;4;4;7;7;0;0;2;0;6,05;0;;;0;0;0
4205;42055;;;;;GRAMPEADOR METAL CIS C-26 GRANDE;GRAMPEADOR METAL CIS C-26;;;;;;62;2;2;0;25;50;0;0;0;0;;0;A;N;;0;;17,2;0;;;;0;84729040;1;1;1;0;0;4;4;7;7;0;0;1;0;2,06;0;;;0;0;0
4206;42062;;;L12GP11MB1;;LIC. SOF. PANDA GLOBAL PROT. 2011 1 PC L12GP11MB1;SOFTWARE PANDA GLOBAL PRO;;;;;;130;1;1;0;83;40;0;0;0;0;;0;A;N;;0;;57,668;0;;;;0;0;1;1;1;0;0;3;3;3;3;0;0;1;0;0;0;;;0;0;0
4207;42079;;;L12GP11MB1;;SUPORTE PANDA GLOBAL PROT. 2011 1 PC;SUPORTE PANDA GLOBAL PROT;;;;;;130;1;1;0;2;40;0;0;0;0;;0;A;N;;0;;1,279;0;;;;0;85234022;1;1;1;0;0;4;4;7;7;0;0;1;0;0,15;0;;;0;0;0
4209;42093;;;;;LIC. SOFT. FQC-04640 WINDOWS 7 PRO SP1 OEM 64BITS;LIC. SOFT. FQC-04640 WIN;;;;;;130;1;1;0;549;35;0;0;0;0;;0;A;N;20140128;0;;386,633;0;;;;0;99999999;1;1;1;0;0;3;3;3;3;0;0;1;0;0;0;;;0;0;0
4210;42109;;;;;LITERAT. FQC-04640 WINDOWS 7 PRO SP1 OEM 64;LITERAT. FQC-004640 WIN 7;;;;;;130;1;1;0;11;35;0;0;0;0;;0;A;N;20120928;0;;10,869;0;;;;0;49119100;1;1;1;0;0;4;4;7;7;0;0;1;0;0;0;;;0;0;0
4211;42116;;;;;SUPORTE FQC-04640 WIN 7 PRO SP1 OEM 64BIT;SUPORTE FQC-04640 WIN 7 P;;;;;;130;1;1;0;5;35;0;0;0;0;;0;A;N;;0;;4,39;0;;;;0;85234022;1;1;1;0;0;1;1;1;1;0;0;1;0;0,53;0;;;0;0;0
4213;42130;;;;;COMP. PC PADRAO A PERF E5700 2GB 320GB GRAV LEIT;COMP. PC PADRAO A PERF E5;;;;;;92;1;1;0;649;50;0;0;0;0;;0;A;N;20120109;0;;455;0;;;;4;84715010;2;2;2;0;0;9;9;9;9;0;0;2;0;31,612;471;;;0;0;0
4214;42147;;;;;CABO COAXIAL 59 95% TRIPOLAR BCO C/ 305M;CABO COAXIAL 59 95% TRIPO;;;;;;7;1;1;0;350;40;0;50;0;0;;0;A;N;;0;;245,684;0;;;;0;85442000;1;1;1;0;0;1;1;1;1;0;0;1;0;29,48;0;;;0;0;0
4215;42154;;;;;CAIXA DE PROTECAO JUNIOR PRETA;CAIXA DE PROTECAO JUNIOR;;;;;;95;1;1;0;15;40;0;0;0;0;;0;A;N;;0;;6,439;0;;;;0;85299011;1;1;1;0;0;4;4;7;7;0;0;1;0;0,773;0;;;0;0;0
4216;42161;;;;;CAMERA CFTV INFRA 30M VM300 IR30 INTELBRAS;CAMERA CFTV INFRA 30M VM3;;;;;;95;1;1;0;450;40;0;0;0;0;;0;A;N;;0;;316,912;0;;;;0;85258019;1;1;1;0;0;4;4;7;7;0;0;1;0;38,033;0;;;0;0;0
4217;42178;;;;;PLACA MAE GIGABYTE GA-H61M-D2-B3 S/V/R;PLACA MAE GIGABYTE GA-H61;;;;;;3;1;1;0;250;40;0;0;0;0;;0;A;N;20120109;0;;174,97;0;;;;0;84733041;2;2;2;0;0;6;6;6;6;0;0;1;0;17,35;0;;;0;0;0
4218;42185;;;;;PROCESSADOR INTEL CORE I3-2100 3.10 GHZ;PROCESSADOR INTEL CORE I3;;;;;;2;1;1;0;360;40;0;0;0;0;;0;A;N;;0;;255,77;0;;;;2;85423190;1;1;1;0;0;1;1;1;1;0;0;1;0;30,1;0;;;0;0;0
4219;42192;;;;;COMP. PC PADRAO A ESSEN D430 3GB 120GB ASUS;COMP. PC PADRAO A ESSEN D;;;;;;92;1;1;0;695;50;0;0;0;0;;0;A;N;20120109;0;;479;0;;;;4;84715010;2;2;2;0;0;9;9;9;9;0;0;2;0;85,577;471;;;0;0;0
